timestamp,table_a,table_b
3/22/2019 11:52:39,Table A is shorter than Table B,Table B is longer than Table A
3/22/2019 11:52:46,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 11:52:50,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 11:52:52,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 11:52:53,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 11:52:54,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 11:53:08,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 11:53:12,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 11:53:12,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 11:53:16,Table A is shorter than Table B,Table B is longer than Table A
3/22/2019 11:53:18,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 11:53:19,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 11:53:22,Table A is shorter than Table B,Table B is narrower than Table A
3/22/2019 11:53:28,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 11:53:35,Table A is shorter than Table B,Table B is longer than Table A
3/22/2019 11:53:36,Table A is shallower than Table B,Table B is taller than Table A
3/22/2019 11:53:39,Table A is shorter than Table B,Table B is longer than Table A
3/22/2019 11:53:40,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 11:54:02,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 11:54:04,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 11:54:05,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 11:54:15,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 11:54:16,Table A is wider than Table B,Table B is taller than Table A
3/22/2019 11:54:22,Table A is wider than Table B,Table B is taller than Table A
3/22/2019 11:54:26,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 11:54:29,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 11:54:36,Table A is wider than Table B,Table B is taller than Table A
3/22/2019 11:54:42,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 11:54:51,Table A is shorter than Table B,Table B is taller than Table A
